खर्च शीर्षक,सुरु बबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,३२७१८८,३०२४०९,१५९९४०,५२.८९
२१२०० कर्बचारी सामाजिक सुरक्षा,१९६१०,१९६१,दश,४२.७३
२२१०० सेवा महसुल,१५६८४,१६०८४,१२१४४,७५.५०
२२२०० रृंजीगत खन्पत्तिको सञ्चालन,४२६३८,४७७७९,३९३६४,८२.३९
२२३०० कार्ालष सामान तथा सेवा,१६८४३,१६८४३,१५३४५१,९१.१४
२२४०० सेवा तथा परामर्श,६१६५१,६१८४९,५११०७,८२.६३
२२५०० कार्वक्रन सम्बन्धी खर्च,१०९४२६९,व६६४०५,३७२९५५,४३.०५
"२२६०० अनुनमन, मूल्याङ्कन र भ्रमण",२२८०२,२२५०२,१८०८३,८०.३४५
२२७०० विविध खर्च,५८२४,५८२४,५२१६,८९.५६
२६४०० अनुदान (चालुतफ),९९८४०६,१०२९१६४५,३१६४३१,३०.७५
२८१०० सम्पत्ति सम्बन्धी खर्च (घर भाडा),४२९५,४२९१,३१५६,७३.५७
जम्मा,२६०९२१०,२३७५११२,९९४४५८४५,४१.ठठ
,,,,
३११०० स्थिर सम्पत्ति प्राप्त,१८२६९४,२०३९७७,१२७०९१,६२.३१
जम्मा,२७९१९००,२५७९०८९,११२१६७६,४३.४९
