_link,id,tag,date,ocid,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_mainProcurementCategory,tender_awardCriteriaDetails,tender_description,tender_hasEnquiries,tender_eligibilityCriteria,tender_awardCriteria,tender_procurementMethod,tender_procurementMethodRationale,tender_numberOfTenderers,tender_value_amount,tender_value_currency,tender_minValue_amount,tender_minValue_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,planning_rationale,planning_budget_id,planning_budget_description,planning_budget_project,planning_budget_projectID,planning_budget_amount_amount,planning_budget_amount_currency,tender_awardPeriod_startDate,tender_awardPeriod_endDate
0,ocds-rw2stw-1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01-2017-11-07T00:00:00+05:45,compiled,2017-11-07T00:00:00+05:45,ocds-rw2stw-1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-2991/01/ DROBRT/3371653-Rec/ 2074/75-01,Recurrent Maintenace Works on Duhabi Inaruwa Kaptangunj Road,Sealed Quotation,active,works,,,false,,,open,,4,0,NPR,0,NPR,2017-11-22T12:00:00+05:45,2017-11-07T00:00:00+05:45,2017-11-07T12:00:00+05:45,2017-11-07T00:00:00+05:45,null,3371653,,Recurrent Maintenace Works on Duhabi Inaruwa Kaptangunj Road,2991,n/a,NPR,,
1,ocds-rw2stw-1DROB-3876/04/ DROBRT/3373664/ 2074/75-11-2017-12-03T00:00:00+05:45,compiled,2017-12-03T00:00:00+05:45,ocds-rw2stw-1DROB-3876/04/ DROBRT/3373664/ 2074/75-11,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3876/04/ DROBRT/3373664/ 2074/75-11,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-01-03T12:00:00+05:45,2017-12-03T00:00:00+05:45,2017-12-24T12:00:00+05:45,2017-12-03T00:00:00+05:45,null,3373664,Government Budget,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,3876,n/a,NPR,,
2,ocds-rw2stw-1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3061/02/ DROBRT/3371653-Rec/ 2074/75-05,Recurrent Maintenace Works on Koshi Highway(Itahari-Bhedetar Sector),NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Koshi Highway(Itahari-Bhedetar Sector),3061,n/a,NPR,,
3,ocds-rw2stw-1DROB-7401/09/DROBRT/3371574/2074/75-29-2018-03-06T00:00:00+05:45,compiled,2018-03-06T00:00:00+05:45,ocds-rw2stw-1DROB-7401/09/DROBRT/3371574/2074/75-29,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7401/09/DROBRT/3371574/2074/75-29,"Construction Of Road & Retaining Structures near approach of Tengra Khola Bridge in Pashupati chowk 2,3,Ithari,Sunsari  ",Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2018-03-23T12:00:00+05:45,2018-03-06T00:00:00+05:45,2018-03-08T12:00:00+05:45,2018-03-06T00:00:00+05:45,null,3371574,,"Construction Of Road & Retaining Structures near approach of Tengra Khola Bridge in Pashupati chowk 2,3,Ithari,Sunsari  ",7401,n/a,NPR,,
4,ocds-rw2stw-1DROB-7402/09/DROBRT/3373354/2074/75-28-2018-03-06T00:00:00+05:45,compiled,2018-03-06T00:00:00+05:45,ocds-rw2stw-1DROB-7402/09/DROBRT/3373354/2074/75-28,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7402/09/DROBRT/3373354/2074/75-28,Construction Of Blacktopped Road Work in Kanepokhari-Letang Road Bistar in Letang Bazzar,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-04-05T12:00:00+05:45,2018-03-06T00:00:00+05:45,2018-03-26T12:00:00+05:45,2018-03-06T00:00:00+05:45,null,3373354,Government Budget,Construction Of Blacktopped Road Work in Kanepokhari-Letang Road Bistar in Letang Bazzar,7402,n/a,NPR,,
5,ocds-rw2stw-1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3070/02/ DROBRT/3371653-Rec/ 2074/75-07,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Bardanga-Urlabari Sector),NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Bardanga-Urlabari Sector),3070,n/a,NPR,,
6,ocds-rw2stw-1DROB-7991/10/DROBRT/3371653/2074/75-32-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7991/10/DROBRT/3371653/2074/75-32,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7991/10/DROBRT/3371653/2074/75-32,"Construction Of  Multicell RCC Bridge in Gobindpur-7, Sigadi- Arubari-Mahadev   Road ,Morang",NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371574,Government Budget,"Construction Of  Multicell RCC Bridge in Gobindpur-7, Sigadi- Arubari-Mahadev   Road ,Morang",7991,n/a,NPR,,
7,ocds-rw2stw-1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02-2017-11-07T10:00:00+05:45,compiled,2017-11-07T10:00:00+05:45,ocds-rw2stw-1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3001/01/ DROBRT/3371653-Rec/ 074/75-02,Recurrent Maintenace Works on Mahendra Highway(Mawa-Itahari Sector),Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2017-11-22T12:00:00+05:45,2017-11-07T10:00:00+05:45,2017-11-07T12:00:00+05:45,2017-11-07T10:00:00+05:45,null,3371653,,Recurrent Maintenace Works on Mahendra Highway(Mawa-Itahari Sector),3001,n/a,NPR,,
8,ocds-rw2stw-1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3068/02/ DROBRT/3371653-Rec/ 2074/75-06,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Biratnagar –Rangeli-Aambari Sector),NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Biratnagar Singiya Rangeli Urlabari Road(Biratnagar –Rangeli-Aambari Sector),3068,n/a,NPR,,
9,ocds-rw2stw-1DROB-6428/08/DROBRT/3373204/2074/75-24-2018-02-12T00:00:00+05:45,compiled,2018-02-12T00:00:00+05:45,ocds-rw2stw-1DROB-6428/08/DROBRT/3373204/2074/75-24,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-6428/08/DROBRT/3373204/2074/75-24,Wing wall construction in Bakaraha khola Bridge in Biratnagar-Rangeli-Urlabari Road,NCB,active,works,,,false,,,open,,9,0,NPR,0,NPR,2018-03-14T12:00:00+05:45,2018-02-12T00:00:00+05:45,2018-03-04T12:00:00+05:45,2018-02-12T00:00:00+05:45,null,3373204,Government Budget,Wing wall construction in Bakaraha khola Bridge in Biratnagar-Rangeli-Urlabari Road,6428,n/a,NPR,,
10,ocds-rw2stw-1DROB-7400/09/DROBRT/3371654/2074/75-27-2018-03-06T00:00:00+05:45,compiled,2018-03-06T00:00:00+05:45,ocds-rw2stw-1DROB-7400/09/DROBRT/3371654/2074/75-27,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7400/09/DROBRT/3371654/2074/75-27,Construction of Hume Pipe Culvert Work in Duhabi-Inaruwa Road,Sealed Quotation,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-03-21T12:00:00+05:45,2018-03-06T00:00:00+05:45,2018-03-06T12:00:00+05:45,2018-03-06T00:00:00+05:45,null,3371654,,Construction of Hume Pipe Culvert Work in Duhabi-Inaruwa Road,7400,n/a,NPR,,
11,ocds-rw2stw-1DROB-4304/06/DROBRT/3373354/2074/75-20-2017-12-18T15:00:00+05:45,compiled,2017-12-18T15:00:00+05:45,ocds-rw2stw-1DROB-4304/06/DROBRT/3373354/2074/75-20,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-4304/06/DROBRT/3373354/2074/75-20,"Embankment filling, gravel and Blacktopped Road Construction Works in Biratnagar(Kanchanbari) purb kushha chitha sattarjhoda  Road",NCB,active,works,,,false,,,open,,5,0,NPR,0,NPR,2018-01-17T12:00:00+05:45,2017-12-18T15:00:00+05:45,2018-01-07T12:00:00+05:45,2017-12-18T15:00:00+05:45,null,3373354,Government Budget,"Embankment filling, gravel and Blacktopped Road Construction Works in Biratnagar(Kanchanbari) purb kushha chitha sattarjhoda  Road",4304,n/a,NPR,,
12,ocds-rw2stw-1DROB-9049/11/DROBRT/3373354/2074/75-36-2018-04-09T00:00:00+05:45,compiled,2018-04-09T00:00:00+05:45,ocds-rw2stw-1DROB-9049/11/DROBRT/3373354/2074/75-36,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-9049/11/DROBRT/3373354/2074/75-36,Blacktopped Road Construction Work in Duhabi Tetariya Motipur Rajghat Paalugothan Narayanjhoda Chandragadhi Road,Sealed Quotation,active,works,,,false,,,open,,3,0,NPR,0,NPR,2018-04-24T12:00:00+05:45,2018-04-09T00:00:00+05:45,2018-04-09T12:00:00+05:45,2018-04-09T00:00:00+05:45,null,3373354,,Blacktopped Road Construction Work in Duhabi Tetariya Motipur Rajghat Paalugothan Narayanjhoda Chandragadhi Road,9049,n/a,NPR,,
13,ocds-rw2stw-1DROB-5915/07/DROBRT/3373554/074/75-21-2018-02-01T00:00:00+05:45,compiled,2018-02-01T00:00:00+05:45,ocds-rw2stw-1DROB-5915/07/DROBRT/3373554/074/75-21,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-5915/07/DROBRT/3373554/074/75-21,Construction of  Blacktopped Road Including Drain & Pipe Culvert in Gandhi Manmohan Marg Morang,NCB,active,works,,,false,,,open,,10,0,NPR,0,NPR,2018-03-04T12:00:00+05:45,2018-02-01T00:00:00+05:45,2018-02-22T12:00:00+05:45,2018-02-01T00:00:00+05:45,null,3373554,Government Budget,Construction of  Blacktopped Road Including Drain & Pipe Culvert in Gandhi Manmohan Marg Morang,5915,n/a,NPR,,
14,ocds-rw2stw-1DROB-4176/05/ DROBRT/3373664/ 2074/75-16-2017-12-14T09:00:00+05:45,compiled,2017-12-14T09:00:00+05:45,ocds-rw2stw-1DROB-4176/05/ DROBRT/3373664/ 2074/75-16,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-4176/05/ DROBRT/3373664/ 2074/75-16,"Construction of Black Top Road & Pipe Culvert in Laxmimarg dekhi dakshin Dangihat-Banauli-Karsiya hudai Aamahi(Bharat sima) sadak, Morang",NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2018-01-15T12:00:00+05:45,2017-12-14T09:00:00+05:45,2018-01-05T12:00:00+05:45,2017-12-14T09:00:00+05:45,null,3373664,Government Budget,"Construction of Black Top Road & Pipe Culvert in Laxmimarg dekhi dakshin Dangihat-Banauli-Karsiya hudai Aamahi(Bharat sima) sadak, Morang",4176,n/a,NPR,,
15,ocds-rw2stw-1DROB-3606/03/ DROBRT/3371653-Spec/ 2074/75-08-2017-11-23T00:00:00+05:45,compiled,2017-11-23T00:00:00+05:45,ocds-rw2stw-1DROB-3606/03/ DROBRT/3371653-Spec/ 2074/75-08,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3606/03/ DROBRT/3371653-Spec/ 2074/75-08,"Specific Maintenance Works (Construction of Multicell Box Culvert)  in Biratnagar-Rangeli-Urlawari   Road, Morang",NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2017-12-24T12:00:00+05:45,2017-11-23T00:00:00+05:45,2017-12-14T12:00:00+05:45,2017-11-23T00:00:00+05:45,null,3371653,Government Budget,"Specific Maintenance Works (Construction of Multicell Box Culvert)  in Biratnagar-Rangeli-Urlawari   Road, Morang",3606,n/a,NPR,,
16,ocds-rw2stw-1DROB-7990/10/DROBRT/3371574/2074/75-31-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7990/10/DROBRT/3371574/2074/75-31,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7990/10/DROBRT/3371574/2074/75-31,"Construction Of  Two Webbed Pre Stressed Bridge in Dattkichha Khola Bridge, Dumaraha-6, Inaruwa Na. Pa. , Sunsari",NCB,active,works,,,false,,,open,,9,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371574,Government Budget,"Construction Of  Two Webbed Pre Stressed Bridge in Dattkichha Khola Bridge, Dumaraha-6, Inaruwa Na. Pa. , Sunsari",7990,n/a,NPR,,
17,ocds-rw2stw-1DROB-7910/10/DROBRT/3371653/2074/75-34-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7910/10/DROBRT/3371653/2074/75-34,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7910/10/DROBRT/3371653/2074/75-34,Construction Of Hume- Pipe culvert in Biratnagar-Rangeli Urlabari Road,Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2018-04-01T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-03-17T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371653,,Construction Of Hume- Pipe culvert in Biratnagar-Rangeli Urlabari Road,7910,n/a,NPR,,
18,ocds-rw2stw-1DROB-7887/10/DROBRT/3371653/2074/75-35-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7887/10/DROBRT/3371653/2074/75-35,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7887/10/DROBRT/3371653/2074/75-35,Specific maintenance work on Biratnagar- Rageli-Urlabari Road,Sealed Quotation,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-04-01T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-03-17T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371653,,Specific maintenance work on Biratnagar- Rageli-Urlabari Road,7887,n/a,NPR,,
19,ocds-rw2stw-1DROB-3056/02/ DROBRT/3371653-Rec/ 2074/75-04-2017-11-09T00:00:00+05:45,compiled,2017-11-09T00:00:00+05:45,ocds-rw2stw-1DROB-3056/02/ DROBRT/3371653-Rec/ 2074/75-04,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3056/02/ DROBRT/3371653-Rec/ 2074/75-04,Recurrent Maintenace Works on Mahendra Highway(Itahari-Koshi Barrage Sector),NCB,active,works,,,true,,,open,,4,0,NPR,0,NPR,2017-12-10T12:00:00+05:45,2017-11-09T00:00:00+05:45,2017-11-30T12:00:00+05:45,2017-11-09T00:00:00+05:45,null,3371653,Government Budget,Recurrent Maintenace Works on Mahendra Highway(Itahari-Koshi Barrage Sector),3056,n/a,NPR,,
20,ocds-rw2stw-1DROB-3864/04/ DROBRT/3373544/ 2074/75-09-2017-12-03T00:00:00+05:45,compiled,2017-12-03T00:00:00+05:45,ocds-rw2stw-1DROB-3864/04/ DROBRT/3373544/ 2074/75-09,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3864/04/ DROBRT/3373544/ 2074/75-09,Blacktopped Road Construction Works including Drainage Structures in Katahari chowk batta Lohandra Khola Hudai Majhare Jodne sadak Morang,NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2018-01-03T12:00:00+05:45,2017-12-03T00:00:00+05:45,2017-12-24T12:00:00+05:45,2017-12-03T00:00:00+05:45,null,3373544,Government Budget,Blacktopped Road Construction Works including Drainage Structures in Katahari chowk batta Lohandra Khola Hudai Majhare Jodne sadak Morang,3864,n/a,NPR,,
21,ocds-rw2stw-1DROB-9905/12/DROBRT/3373664/2074/75-42-2018-04-24T12:00:00+05:45,compiled,2018-04-24T12:00:00+05:45,ocds-rw2stw-1DROB-9905/12/DROBRT/3373664/2074/75-42,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-9905/12/DROBRT/3373664/2074/75-42,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2018-05-24T12:00:00+05:45,2018-04-24T12:00:00+05:45,2018-05-14T12:00:00+05:45,2018-04-24T12:00:00+05:45,null,3373664,Government Budget,Construction of Black Top Road including Drainage structure in KaptanganjPanchau Simar NayaahatiyaPaschim Devanganj ga.bi.sa.hudai Madhyarsili harinagaraThana Ramnagar Bhutaha Chaprahi Narsing Janta Chowk MRM Sunsari,9905,n/a,NPR,,
22,ocds-rw2stw-1DROB-7989/10/DROBRT/3371574/2074/75-33-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7989/10/DROBRT/3371574/2074/75-33,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7989/10/DROBRT/3371574/2074/75-33,"Construction Of  Two Webbed RCC Deck Slab  Bridge in Fufrighat Bridge, Morang  ",NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371574,Government Budget,"Construction Of  Two Webbed RCC Deck Slab  Bridge in Fufrighat Bridge, Morang  ",7989,n/a,NPR,,
23,ocds-rw2stw-1DROD-1635/DRODMK/3371574/074/75-2-2017-08-31T00:00:00+05:45,compiled,2017-08-31T00:00:00+05:45,ocds-rw2stw-1DROD-1635/DRODMK/3371574/074/75-2,tender,476a7e9c7c118fcd88bd022213bf87a5,102 Division Road Office Damak,1DROD-1635/DRODMK/3371574/074/75-2,RCC Box culvert Construction over Dipini Khola and Harchana Khola,NCB,active,works,,,false,,,open,,14,0,NPR,0,NPR,2017-10-09T12:00:00+05:45,2017-08-31T00:00:00+05:45,2017-09-29T12:00:00+05:45,2017-08-31T00:00:00+05:45,null,3371574,Government Budget,RCC Box culvert Construction over Dipini Khola and Harchana Khola,1635,n/a,NPR,2017-11-30T15:41:22+05:45,
24,ocds-rw2stw-1DROB-9051/11/DROBRT/3373354/2074/75-38-2018-04-09T00:00:00+05:45,compiled,2018-04-09T00:00:00+05:45,ocds-rw2stw-1DROB-9051/11/DROBRT/3373354/2074/75-38,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-9051/11/DROBRT/3373354/2074/75-38,Construction of Black Top Road including structures in Katahari Chowk - Janpriya HSS -Bhathigang--Majhare-Laxminiya-Pokhariya-Bharat Sima Sadak ,Sealed Quotation,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-04-24T12:00:00+05:45,2018-04-09T00:00:00+05:45,2018-04-09T12:00:00+05:45,2018-04-09T00:00:00+05:45,null,3373354,,Construction of Black Top Road including structures in Katahari Chowk - Janpriya HSS -Bhathigang--Majhare-Laxminiya-Pokhariya-Bharat Sima Sadak ,9051,n/a,NPR,,
25,ocds-rw2stw-1DROB-7988/10/DROBRT/3371574/2074/75-30-2018-03-16T00:00:00+05:45,compiled,2018-03-16T00:00:00+05:45,ocds-rw2stw-1DROB-7988/10/DROBRT/3371574/2074/75-30,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-7988/10/DROBRT/3371574/2074/75-30,"Construction of Prestressed  Girder RCC Bridge in Altai Holi Bridge, Larikatta Damra bhitta Road, Morang",NCB,active,works,,,false,,,open,,7,0,NPR,0,NPR,2018-04-15T12:00:00+05:45,2018-03-16T00:00:00+05:45,2018-04-05T12:00:00+05:45,2018-03-16T00:00:00+05:45,null,3371574,Government Budget,"Construction of Prestressed  Girder RCC Bridge in Altai Holi Bridge, Larikatta Damra bhitta Road, Morang",7988,n/a,NPR,,
26,ocds-rw2stw-1DROB-4241/06/DROBRT/3373354/2074/75-18-2017-12-18T00:00:00+05:45,compiled,2017-12-18T00:00:00+05:45,ocds-rw2stw-1DROB-4241/06/DROBRT/3373354/2074/75-18,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-4241/06/DROBRT/3373354/2074/75-18,Blacktopped Road Construction Works including pipe culverts at Ghinaghat biratchowk Road Morang,NCB,active,works,,,false,,,open,,12,0,NPR,0,NPR,2018-01-17T12:00:00+05:45,2017-12-18T00:00:00+05:45,2018-01-07T12:00:00+05:45,2017-12-18T00:00:00+05:45,null,3373354,Government Budget,Blacktopped Road Construction Works including pipe culverts at Ghinaghat biratchowk Road Morang,4241,n/a,NPR,,
27,ocds-rw2stw-1DROB-3005/01/ DROBRT/3371653-Rec/ 2074/75-03-2017-11-07T09:00:00+05:45,compiled,2017-11-07T09:00:00+05:45,ocds-rw2stw-1DROB-3005/01/ DROBRT/3371653-Rec/ 2074/75-03,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-3005/01/ DROBRT/3371653-Rec/ 2074/75-03,Recurrent Maintenace Works on Ghinaghat Biratchowk Road,Sealed Quotation,active,works,,,false,,,open,,5,0,NPR,0,NPR,2017-11-22T12:00:00+05:45,2017-11-07T09:00:00+05:45,2017-11-07T12:00:00+05:45,2017-11-07T09:00:00+05:45,null,3371653,,Recurrent Maintenace Works on Ghinaghat Biratchowk Road,3005,n/a,NPR,,
28,ocds-rw2stw-1DROB-9950/13/DROBRT/3373664/2074/75-43-2018-04-25T12:00:00+05:45,compiled,2018-04-25T12:00:00+05:45,ocds-rw2stw-1DROB-9950/13/DROBRT/3373664/2074/75-43,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-9950/13/DROBRT/3373664/2074/75-43,Construction of Black Top Road including Drainage structure in Katahari-Majhare-Pokhariya-Nocha   Road,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-05-25T12:00:00+05:45,2018-04-25T12:00:00+05:45,2018-05-15T12:00:00+05:45,2018-04-25T12:00:00+05:45,null,3373664,Government Budget,Construction of Black Top Road including Drainage structure in Katahari-Majhare-Pokhariya-Nocha   Road,9950,n/a,NPR,,
29,ocds-rw2stw-1DROD-7139/DRODKT/3373354/074/075-023-2018-02-28T06:00:00+05:45,compiled,2018-02-28T06:00:00+05:45,ocds-rw2stw-1DROD-7139/DRODKT/3373354/074/075-023,tender,1575670c0ee87500ea2d26ebd32bdc3b,104 Division Road Office Dhankuta,1DROD-7139/DRODKT/3373354/074/075-023,Roadway Excavation and structural works on Mulghat-Akhisalla-Chhintang-Triveni-Bhojpur Road,NCB,active,works,,,false,,,open,,7,0,NPR,0,NPR,2018-03-30T12:00:00+05:45,2018-02-28T06:00:00+05:45,2018-03-20T12:00:00+05:45,2018-02-28T06:00:00+05:45,null,3373354,Government Budget,Roadway Excavation and structural works on Mulghat-Akhisalla-Chhintang-Triveni-Bhojpur Road,7139,n/a,NPR,,
30,ocds-rw2stw-1DROD-3608/DRODMK/3371653/074/75-3-2017-11-26T00:00:00+05:45,compiled,2017-11-26T00:00:00+05:45,ocds-rw2stw-1DROD-3608/DRODMK/3371653/074/75-3,tender,476a7e9c7c118fcd88bd022213bf87a5,102 Division Road Office Damak,1DROD-3608/DRODMK/3371653/074/75-3,"Specific Maintenance Works on SRN Roads, Jhapa",NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2017-12-27T12:00:00+05:45,2017-11-26T00:00:00+05:45,2017-12-17T12:00:00+05:45,2017-11-26T00:00:00+05:45,null,3371653,Government Budget,"Specific Maintenance Works on SRN Roads, Jhapa",3608,n/a,NPR,,
31,ocds-rw2stw-1DROB-6017/07/DROBRT/3373204/074/75-23-2018-02-01T00:00:00+05:45,compiled,2018-02-01T00:00:00+05:45,ocds-rw2stw-1DROB-6017/07/DROBRT/3373204/074/75-23,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-6017/07/DROBRT/3373204/074/75-23,Rriver training Works in Gachhiya Bridge Protection,NCB,active,works,,,false,,,open,,11,0,NPR,0,NPR,2018-03-04T12:00:00+05:45,2018-02-01T00:00:00+05:45,2018-02-22T12:00:00+05:45,2018-02-01T00:00:00+05:45,null,337320,Government Budget,Rriver training Works in Gachhiya Bridge Protection,6017,n/a,NPR,,
32,ocds-rw2stw-1DROB-9906/12/DROBRT/3373544/2074/75-39-2018-04-24T12:00:00+05:45,compiled,2018-04-24T12:00:00+05:45,ocds-rw2stw-1DROB-9906/12/DROBRT/3373544/2074/75-39,tender,f5931b65d10cab12d63ec3c8a2890148,105 Division Road Office Biratnagar,1DROB-9906/12/DROBRT/3373544/2074/75-39,Blacktopped Road Construction Works including Drainage Structures in Katahari chowk batta Lohandra Khola Hudai Majhare Jodne sadak,NCB,active,works,,,false,,,open,,3,0,NPR,0,NPR,2018-05-24T12:00:00+05:45,2018-04-24T12:00:00+05:45,2018-05-14T12:00:00+05:45,2018-04-24T12:00:00+05:45,null,3373544,Government Budget,Blacktopped Road Construction Works including Drainage Structures in Katahari chowk batta Lohandra Khola Hudai Majhare Jodne sadak,9906,n/a,NPR,,
