खर्च शीर्षक,सुरु बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,२३५७८७,२३५५९१,१५१८४०,६४.४५
२१२०० कर्यचारीको सामाजिक सुरक्षा,३२५९,३२५९,६४०,१९.६४
२२१०० सेवा महसुल,१२२०९,१२६५९,९३१३,७३.५७
२२२०० इन्धन/मर्मत सम्भार,३९७२०,३९७२०,३३२४५,८३.७०
२२३०० कार्यालय सामग्री,२६९३८,२७७३८,२३६५९,०८५.२९
२२४०० सेवा परामर्श सम्बन्धी खर्च,५१३६६,५३०४२,३४७००,६५.४२
२२५०० कार्यक्रम सम्बन्धी खर्च,२४५१२८,३२७५१,२४८०७,७५.७४
"२२६०० अनुगमन, मूल्याङ्कन र भ्रमण खर्च",१६५७१,१६५७१,१४६०९,वव.१६
२२७०० विविध खर्च,८२७१,८२७१,६९२३,८३.७०
२८१०० सम्पत्ति सम्बन्धी खर्च,१३००१,१२७०१,९७१५,७६.४९
२८२०० राजस्व फिर्ता,,७५,७५,१००.००
२८९०० भैपरी आउने खर्च,८५९३,४६१७,,०.००
जम्मा,४४०८४३,४४६९९५,२०९५२६,६९.२५%
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१२२५८५२८,१२२६१५७९,९४१५१९४,७६.७९
३१४०० जग्गा प्राप्ति,२२९५,२२९४,०,०.००
जम्मा,१२२६०८२३,१२२६३८७४,९४१५१९४,७६.७७
कुल जम्मा,१२७०१६६६,१२७१०८६९,९७२४७२०,७६.५१%
